name,1th_menu,name,2th_menu,name,3th_menu,name,4th_menu,ItemID,ValCheckFlag,IsCommon,VehicleType,ItemName,ItemDescription,CurValue,DefaultValue,Unit,ItemType,ItemRange,ItemDescription,Permission,,,Visibility
相机配置,1,"D430 / D435",2,1号相机,1,,,1701,0,1,0,camera.enable_d435_camera,启用D435设备,False,False,,enum_str,True;False,"是否启用Intel Realsense D435设备",20,,,1
相机配置,1,"D430 / D435",2,1号相机,1,,,1716,0,0,0,camera.d435_1_serial_number,1号D435序列号,,,,enum_str,0;1,"1号D435序列号,若设备只装有单个D435,则默认设置该值",20,,,1
相机配置,1,"D430 / D435",2,1号相机,1,,,1796,0,0,0,camera.d435_1_using_avoidance,1号D435相机是否用来避障,False,False,,enum_str,True;False,1号D435相机是否用来避障,20,,,1
相机配置,1,"D430 / D435",2,2号相机,2,,,1717,0,0,0,camera.d435_2_serial_number,2号D435序列号,,,,enum_str,0;1,"2号D435序列号,需按要求配置2号相机避障参数",20,,,1
相机配置,1,"D430 / D435",2,2号相机,2,,,1759,0,1,0,camera.enable_d435_2_camera,启用D435_2设备,False,False,,enum_str,True;False,"是否启用Intel Realsense D435_3设备",20,,,1
相机配置,1,"D430 / D435",2,2号相机,2,,,1797,0,0,0,camera.d435_2_using_avoidance,2号D435相机是否用来避障,False,False,,enum_str,True;False,2号D435相机是否用来避障,20,,,1
相机配置,1,"D430 / D435",2,3号相机,3,,,6000,0,0,0,camera.d435_3_using_avoidance,3号D435相机是否用来避障,False,False,,enum_str,True;False,3号D435相机是否用来避障,20,,,1
相机配置,1,"D430 / D435",2,3号相机,3,,,6001,0,0,0,camera.d435_3_serial_number,3号D435序列号,,,,enum_str,0;1,"3号D435序列号,需按要求配置3号相机避障参数",20,,,1
相机配置,1,"D430 / D435",2,3号相机,3,,,6003,0,1,0,camera.enable_d435_3_camera,启用D435_3设备,False,False,,enum_str,True;False,"是否启用Intel Realsense D435_3设备",20,,,1
相机配置,1,"D430 / D435",2,4号相机,4,,,6016,0,1,0,camera.enable_d435_4_camera,启用D435_4设备,False,False,,enum_str,True;False,"是否启用Intel Realsense D435_4设备",20,,,1
相机配置,1,"D430 / D435",2,4号相机,4,,,6013,0,0,0,camera.d435_4_using_avoidance,4号D435相机是否用来避障,False,False,,enum_str,True;False,4号D435相机是否用来避障,20,,,1
相机配置,1,"D430 / D435",2,4号相机,4,,,6014,0,0,0,camera.d435_4_serial_number,4号D435序列号,,,,enum_str,0;1,"4号D435序列号,需按要求配置4号相机避障参数",20,,,1
相机配置,1,O3D303,4,,,,,1749,0,1,2,camera.enable_ifm_o3d303_camera,启用ifmO3D303摄像头,false,false,,enum_str,True;False,是否启用ifmO3D303摄像头,20,,,1
相机配置,1,O3D303,4,,,,,1750,0,0,2,camera.ifm_o3d303_ip_address,ifmO3D303摄像头ip地址,192.168.1.69,192.168.1.69,,str,,o3d303摄像头ip地址,30,,,1
相机配置,1,O3D303,4,,,,,1751,0,0,2,camera.ifm_o3d303_enable_publish_image_when_action,是否在只有执行动作时才开启ifmO3D摄像头,true,true,,enum_str,True;False,是否在只有执行动作时才开启ifmO3D摄像头,20,,,1
相机配置,1,SVC相机,3,后视相机,8,,,3310,0,0,0,camera.back_camera_device_address,后视SVCUSB地址,/dev/v4l/by-id/usb-Global_Shutter_Camera_Global_Shutter_Camera_01.00.00-video-index0,,,str,,后视SVCUSB地址,20,,,1
相机配置,1,SVC相机,3,后视相机,8,,,3312,0,1,0,camera.enable_back_camera,SVC启用后视,FALSE,FALSE,,enum_str,True;False,是否启用SVC200后视,20,,,1
相机配置,1,SVC相机,3,后视相机,8,,,3313,0,0,0,camera.back_serial_number,后视序列号,,,,str,,"后视序列号,如果设置该值,不需要设置摄像头USB端口号",20,,,1
相机配置,1,SVC相机,3,上视相机,5,,,1718,0,0,0,camera.svc100_up_serial_number,上视SVC100序列号,,,,enum_str,0;1,"上视SVC100序列号,如果设置该值,不需要设置摄像头USB端口号",20,,,1
相机配置,1,SVC相机,3,上视相机,5,,,1720,0,1,0,camera.enable_svc100_camera,启用svc100,false,false,,enum_str,True;False,是否启用svc100,20,,,1
相机配置,1,SVC相机,3,上视相机,5,,,1721,0,1,0,camera.svc100_enable_publish_image_when_action,是否在只有执行动作时才开启svc100,false,false,,enum_str,True;False,是否在只有执行动作时才开启svc100,20,,,1
相机配置,1,SVC相机,3,上视相机,5,,,1722,0,0,0,camera.svc100_fps,svc100的处理频率,20,20,Hz,int,"[1,100]",svc100的处理频率,30,,,1
相机配置,1,SVC相机,3,上视相机,5,,,1723,0,0,0,camera.svc100_install_direction,svc100的安装朝向,0,0,°,double,"[0,180.0]",svc100的安装朝向,20,,,1
相机配置,1,SVC相机,3,上视相机,5,,,1724,0,0,0,camera.svc100_disort_param,svc100的畸变参数,0.0228901;-0.0637674;0.00244537;0.00234416;0.0197826,0.0228901;-0.0637674;0.00244537;0.00234416;0.0197826,,str,,svc100的畸变参数,30,,,1
相机配置,1,SVC相机,3,上视相机,5,,,1725,0,0,0,camera.svc100_inner_param,svc100的内参,304.687964;0;330.872456;0;304.687963;221.071245;0;0;1.0,304.687964;0;330.872456;0;304.687963;221.071245;0;0;1.0,,str,,svc100的内参,30,,,1
相机配置,1,SVC相机,3,上视相机,5,,,1726,0,0,0,camera.svc100_led_bits,svc100灯控IO口,5,5,,int,"[0,32]",svc100灯控IO口,30,,,1
